USER_COUNTRY,EVENTS_COUNT
IN,4340
ID,1826
BD,1819
PK,1574
IQ,1551
AR,1129
BR,1123
VN,1105
US,1005
DZ,840
TR,792
CO,766
ZZ,739
PH,724
VE,710
EC,629
NP,608
EG,603
KZ,533
MA,520
PE,451
AZ,435
MX,395
DO,392
GT,356
UZ,342
UA,316
BO,301
HN,242
KH,241
UY,220
CL,214
TN,202
MN,195
PY,183
JO,183
GE,177
KE,169
LA,152
NI,150
MY,148
BY,139
KG,134
SV,130
MM,126
ZA,122
TH,118
DE,106
LB,102
CR,95
SN,95
LY,91
PA,90
LK,87
RS,84
RO,79
MD,79
BA,64
MK,59
RU,59
CA,54
PS,50
ET,46
CI,46
JM,45
BG,43
OM,43
AM,42
NG,41
SA,38
KR,37
CN,37
NO,35
SO,31
AL,31
CD,26
ES,25
TZ,24
FR,23
GB,22
HU,22
IL,22
YE,22
PL,21
GA,21
GH,20
IT,20
AO,20
TJ,20
GR,18
MU,17
JP,17
TT,17
SD,16
SG,16
HK,16
AU,16
BF,15
ZW,15
PT,15
TM,14
ME,14
NL,14
AF,13
BN,12
UG,12
AE,12
MZ,12
TG,11
MV,11
HT,11
BT,11
CG,11
LT,11
CZ,10
ZM,10
XK,10
SL,10
SR,10
LV,10
MR,9
GY,9
CM,8
MW,8
BZ,8
PG,7
ML,7
HR,7
SE,7
FJ,7
BW,6
BH,6
CY,6
PR,6
AT,6
IR,6
RW,5
LR,5
CV,4
BJ,4
KW,4
IE,4
BI,4
NC,4
WS,4
NA,4
GF,4
MG,3
RE,3
KM,3
NE,3
SI,3
SK,3
GN,3
GW,3
GQ,2
SC,2
CW,2
PF,2
QA,2
NZ,2
GD,2
GM,2
SS,2
YT,2
KN,2
TD,2
GU,2
GP,2
VI,1
DJ,1
EE,1
TC,1
ER,1
FO,1
KI,1
CK,1
MQ,1
SY,1
SX,1
IM,1
FI,1
TO,1
AW,1
TL,1
LS,1
CH,1
BS,1
